NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,Number_Of_Processors_Preffered,AllowTF
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",6,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",5,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",4,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",3,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,TRUE
"""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",6,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",5,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",4,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",3,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,TRUE
"""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,TRUE
